ClaimID,PolicyID,CoverageType,Peril,ClaimDate,ClaimAmount,ApprovedAmount,FraudScore,ClaimStatus,ForcedEntryFlag,ProofOfOwnershipFlag,CoverageType_Policy,DriverType,DriverAge,LicenseValid,UsageType,PremiumAmount,FraudRiskScore,IncidentDriverAge,IncidentDriverLicenseYears,IncidentDriverListedFlag,DriverEligibilityFlag,AdditionalExcessFlag,AdditionalExcessAmount,DriverEligibilityReason,PayoutRatio
1,104,Contents,Water Damage,3/2/2024,107616,107616,32,Approved,N,Y,Contents,,,,,1917.59,75,,,,,,,,1
2,448,Motor,Glass Damage,2/4/2024,112615,112615,59,Approved,Y,N,Contents,,,,,885.06,64,50,30,Y,Y,N,0,Driver meets policy requirements,1
3,1909,Contents,Fire,10/7/2025,113274,113274,49,Approved,Y,N,Contents,,,,,943.59,5,,,,,,,,1
4,1106,Building,Fire,5/12/2025,54492,54492,35,Approved,N,N,Motor,Open Driver,35,N,Business,1412.12,46,,,,,,,,1
5,86,Contents,Burglary,11/9/2025,76142,76142,38,Approved,Y,Y,Contents,,,,,988.16,51,,,,,,,,1
6,897,All Risk,Theft,8/2/2023,65814,65814,45,Approved,Y,Y,Building,,,,,915.59,17,,,,,,,,1
7,345,Motor,Theft & Hijacking,8/22/2023,101660,93211,94,Repudiated,Y,Y,Contents,,,,,2232.13,86,57,21,Y,Y,N,0,Driver meets policy requirements,0.9169
8,1058,Motor,Weather,7/16/2025,124964,0,77,Repudiated,Y,Y,Motor,Named Driver,29,N,Business,2097.17,87,30,1,Y,N,N,0,Invalid driver licence,0
9,1199,Building,Water Damage,3/3/2024,125793,4374,68,Pending,Y,Y,All Risk,,,,,486.3,46,,,,,,,,0.0348
10,471,Building,Flood,8/9/2025,20060,20060,25,Approved,Y,N,All Risk,,,,,746.32,71,,,,,,,,1
11,546,Building,Malicious Damage,5/19/2025,53468,53468,16,Approved,Y,N,Building,,,,,1358.61,86,,,,,,,,1
12,1473,Building,Water Damage,9/12/2023,43194,43194,13,Approved,Y,Y,Motor,Open Driver,20,N,Private,2093.24,55,,,,,,,,1
13,201,Building,Water Damage,6/15/2024,116636,116636,47,Approved,Y,Y,Motor,Named Driver,63,Y,Private,1373.1,14,,,,,,,,1
14,1194,Contents,Burglary,10/21/2024,84184,84184,36,Approved,Y,N,Motor,Open Driver,30,Y,Business,2370.68,57,,,,,,,,1
15,1877,Motor,Accidental Damage,3/3/2023,23249,23249,23,Approved,Y,Y,Contents,,,,,1018.76,77,33,12,Y,Y,N,0,Driver meets policy requirements,1
16,1144,Motor,Weather,5/8/2023,130411,34459,80,Pending,Y,Y,Building,,,,,823.07,38,60,36,Y,Y,N,0,Driver meets policy requirements,0.2642
17,778,Contents,Burglary,12/11/2024,53938,45200,82,Repudiated,Y,N,Contents,,,,,895.99,43,,,,,,,,0.838
18,1280,Building,Storm,11/29/2024,24275,24275,33,Approved,Y,Y,Building,,,,,1634.83,81,,,,,,,,1
19,1889,Building,Flood,9/29/2025,87152,87152,23,Approved,N,Y,All Risk,,,,,563.94,60,,,,,,,,1
20,862,Contents,Accidental Damage,5/17/2024,19033,19033,31,Approved,Y,N,Contents,,,,,830.98,77,,,,,,,,1
21,502,Building,Storm,11/26/2025,115619,115619,60,Approved,Y,N,Contents,,,,,443.83,46,,,,,,,,1
22,1950,Building,Water Damage,7/26/2024,41472,13988,76,Pending,Y,N,All Risk,,,,,2266.65,50,,,,,,,,0.3373
